Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
CURRENT SCIENCE,CURR SCI INDIA,0011-3891,0011-3891,MULTIDISCIPLINARY SCIENCES - SCIE,"14,767",1.169,Q3,0.22,88.69%
INTERDISCIPLINARY SCIENCE REVIEWS,INTERDISCIPL SCI REV,0308-0188,1743-2790,MULTIDISCIPLINARY SCIENCES - SCIE,471,1.109,Q4,0.57,11.88%
All Life,ALL LIFE,2689-5293,2689-5307,MULTIDISCIPLINARY SCIENCES - SCIE,105,1.044,Q4,0.23,99.39%
Proceedings of the Estonian Academy of Sciences,P EST ACAD SCI,1736-6046,1736-7530,MULTIDISCIPLINARY SCIENCES - SCIE,582,1.024,Q4,0.32,100%
Sains Malaysiana,SAINS MALAYS,0126-6039,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,"2,853",1.006,Q4,0.21,99.57%
SCIENCEASIA,SCIENCEASIA,1513-1874,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,"1,020",0.995,Q4,0.19,100%
NEW SCIENTIST,NEW SCI,0262-4079,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,"1,124",0.906,Q4,0.02,0%
Maejo International Journal of Science and Technology,MAEJO INT J SCI TECH,1905-7873,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,327,0.809,Q4,0.31,0%
Kuwait Journal of Science,KUWAIT J SCI,2307-4108,2307-4116,MULTIDISCIPLINARY SCIENCES - SCIE,389,0.806,Q4,0.31,0%
Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science,P ROMANIAN ACAD A,1454-9069,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,389,0.734,Q4,0.3,0%
JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,J NATL SCI FOUND SRI,1391-4588,2362-0161,MULTIDISCIPLINARY SCIENCES - SCIE,530,0.682,Q4,0.2,95.62%
DEFENCE SCIENCE JOURNAL,DEFENCE SCI J,0011-748X,0976-464X,MULTIDISCIPLINARY SCIENCES - SCIE,"1,305",0.667,Q4,0.19,98.25%
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,1806-2563,1807-8664,MULTIDISCIPLINARY SCIENCES - SCIE,548,0.655,Q4,0.13,92.70%
NATIONAL ACADEMY SCIENCE LETTERS-INDIA,NATL ACAD SCI LETT,0250-541X,2250-1754,MULTIDISCIPLINARY SCIENCES - SCIE,823,0.649,Q4,0.18,0.83%
ENDEAVOUR,ENDEAVOUR,0160-9327,1873-1929,MULTIDISCIPLINARY SCIENCES - SCIE,693,0.6,Q4,0.38,11.11%
ADVANCES IN COMPLEX SYSTEMS,ADV COMPLEX SYST,0219-5259,1793-6802,MULTIDISCIPLINARY SCIENCES - SCIE,699,0.58,Q4,0.37,7.46%
HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,HER RUSS ACAD SCI+,1019-3316,1555-6492,MULTIDISCIPLINARY SCIENCES - SCIE,403,0.552,Q4,0.34,0%
Chiang Mai Journal of Science,CHIANG MAI J SCI,0125-2526,0125-2526,MULTIDISCIPLINARY SCIENCES - SCIE,915,0.507,Q4,0.11,0%
TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA,T ROY SOC SOUTH AUST,0372-1426,2204-0293,MULTIDISCIPLINARY SCIENCES - SCIE,468,0.48,Q4,0.28,2.63%
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,CR ACAD BULG SCI,1310-1331,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,890,0.326,Q4,0.11,0%
Data,DATA,N/A,2306-5729,MULTIDISCIPLINARY SCIENCES - ESCI,"1,330",N/A,N/A,0.66,96.59%
International Transaction Journal of Engineering Management & Applied Sciences & Technologies,INT TRANS J ENG MANA,2228-9860,1906-9642,MULTIDISCIPLINARY SCIENCES - ESCI,241,N/A,N/A,0.08,0%
Avances,AVANCES,1562-3297,1562-3297,MULTIDISCIPLINARY SCIENCES - ESCI,48,N/A,N/A,0.01,0%
Heritage,HERITAGE-BASEL,N/A,2571-9408,MULTIDISCIPLINARY SCIENCES - ESCI,600,N/A,N/A,4.17,91.21%
MethodsX,METHODSX,N/A,2215-0161,MULTIDISCIPLINARY SCIENCES - ESCI,"3,007",N/A,N/A,0.42,98.69%
CienciaUat,CIENCIAUAT,2007-7521,2007-7858,MULTIDISCIPLINARY SCIENCES - ESCI,71,N/A,N/A,0.13,93.06%
Uniciencia,UNICIENCIA,1011-0275,2215-3470,MULTIDISCIPLINARY SCIENCES - ESCI,89,N/A,N/A,0.23,98.84%
Forecasting,FORECASTING-BASEL,N/A,2571-9394,MULTIDISCIPLINARY SCIENCES - ESCI,139,N/A,N/A,0.57,92.47%
Data in Brief,DATA BRIEF,2352-3409,2352-3409,MULTIDISCIPLINARY SCIENCES - ESCI,"7,537",N/A,N/A,0.28,99.71%
Smart Science,SMART SCI,N/A,2308-0477,MULTIDISCIPLINARY SCIENCES - ESCI,219,N/A,N/A,0.38,0%
Revista Univap,REV UNIVAP,1517-3275,2237-1753,MULTIDISCIPLINARY SCIENCES - ESCI,27,N/A,N/A,0.01,93.16%
The Innovation,INNOVATION-AMSTERDAM,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES - ESCI,"1,480",N/A,N/A,2.83,99.03%
Science Diliman,SCI DILIMAN,0115-7809,0115-7809,MULTIDISCIPLINARY SCIENCES - ESCI,45,N/A,N/A,0.03,0%
