Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
ACM Transactions on Cyber-Physical Systems,ACM TRANS CYBER-PHYS,2378-962X,2378-9638,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",375,N/A,N/A,0.6,0.78%
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,1935-8237,1935-8245,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","3,382",N/A,N/A,6.36,0%
IPSI BgD Transactions on Internet Research,IPSI BDG TRANS INTER,1820-4503,1820-4503,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",26,N/A,N/A,0.06,0%
Journal of Cases on Information Technology,J CASES INF TECHNOL,1548-7717,1548-7725,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",156,N/A,N/A,0.41,49.32%
Journal of Healthcare Informatics Research,J HEALTHC INFORM RES,2509-4971,2509-498X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",214,N/A,N/A,0.67,15.49%
Journal of Information Technology Research,J INF TECHNOL RES,1938-7857,1938-7865,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",127,N/A,N/A,0.18,0.95%
ACM Journal of Data and Information Quality,ACM J DATA INF QUAL,1936-1955,1936-1955,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",279,N/A,N/A,0.51,0%
Australasian Journal of Information Systems,AUSTRALAS J INF SYST,1449-8618,1326-2238,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",427,N/A,N/A,0.37,65.09%
International Journal of Semantic Computing,INT J SEMANT COMPUT,1793-351X,1793-7108,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",159,N/A,N/A,0.12,1.37%
Service Oriented Computing and Applications,SERV ORIENTED COMPUT,1863-2386,1863-2394,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",309,N/A,N/A,0.29,7.25%
International Journal of Arts and Technology,INT J ARTS TECHNOL,1754-8853,1754-8861,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",74,N/A,N/A,0.06,0%
Journal of Information and Telecommunication,J INFORM TELECOMMUN,2475-1839,2475-1847,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",195,N/A,N/A,0.38,98%
ACM Transactions on Economics and Computation,ACM T ECON COMPUT,2167-8375,2167-8383,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",199,N/A,N/A,0.32,0%
Intelligent Decision Technologies-Netherlands,INTELL DECIS TECHNOL,1872-4981,1875-8843,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",210,N/A,N/A,0.11,1.42%
Journal of Digital Forensics Security and Law,J DIGIT FORENSICS SE,1558-7215,1558-7223,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",129,N/A,N/A,0.1,20%
Journal of Information Assurance and Security,J INF ASSUR SECUR,1554-1010,1554-1029,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",101,N/A,N/A,0.18,0%
Journal of Internet Services and Applications,J INTERNET SERV APPL,1867-4828,1869-0238,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",586,N/A,N/A,0.94,100%
CCF Transactions on High Performance Computing,CCF T HIGH PERFORM C,2524-4922,2524-4930,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",46,N/A,N/A,0.16,5.41%
Foundations of Computing and Decision Sciences,FOUND COMPUT DECIS S,0867-6356,2300-3405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",198,N/A,N/A,0.11,98.33%
Journal of Communications Software and Systems,J COMMUN SOFTW SYS,1845-6421,1846-6079,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",128,N/A,N/A,0.2,97.20%
Journal of Electrical and Computer Engineering,J ELECTR COMPUT ENG,2090-0147,2090-0155,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",925,N/A,N/A,0.39,98.77%
International Journal of Web Information Systems,INT J WEB INF SYST,1744-0084,1744-0092,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI",190,N/A,N/A,0.21,4.04%
Journal of Algorithms & Computational Technology,J ALGORITHMS COMPUT,1748-3018,1748-3026,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI",295,N/A,N/A,0.21,100%
