Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
Journal of Physics Communications,J PHYS COMMUN,2399-6528,2399-6528,"PHYSICS, MULTIDISCIPLINARY - ESCI","1,362",1.2,N/A,0.32,98.70%
Jove-Journal of Visualized Experiments,JOVE-J VIS EXP,1940-087X,1940-087X,MULTIDISCIPLINARY SCIENCES - SCIE,"23,464",1.2,Q3,0.27,0.44%
All Life,ALL LIFE,2689-5293,2689-5307,MULTIDISCIPLINARY SCIENCES - SCIE,226,1.2,Q3,0.26,98.89%
Data in Brief,DATA BRIEF,2352-3409,2352-3409,MULTIDISCIPLINARY SCIENCES - ESCI,"8,141",1.2,N/A,0.26,96.51%
African Journal of Science Technology Innovation & Development,AFR J SCI TECHNOL IN,2042-1338,2042-1346,MULTIDISCIPLINARY SCIENCES - ESCI,929,1.2,N/A,0.25,6.04%
International Arab Journal of Information Technology,INT ARAB J INF TECHN,1683-3198,1683-3198,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",955,1.2,Q4,0.23,69.77%
SCIENCEASIA,SCIENCEASIA,1513-1874,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,"1,062",1.2,Q3,0.23,100%
INTERDISCIPLINARY SCIENCE REVIEWS,INTERDISCIPL SCI REV,0308-0188,1743-2790,MULTIDISCIPLINARY SCIENCES - SCIE,488,1.1,Q4,0.62,16.81%
AFRICAN ZOOLOGY,AFR ZOOL,1562-7020,2224-073X,ZOOLOGY - SCIE,661,1.1,Q3,0.58,3.45%
ANNALS OF CARNEGIE MUSEUM,ANN CARNEGIE MUS,0097-4463,1943-6300,ZOOLOGY - SCIE,408,1.1,Q3,0.58,0%
JOURNAL OF CRUSTACEAN BIOLOGY,J CRUSTACEAN BIOL,0278-0372,1937-240X,ZOOLOGY - SCIE,"2,648",1.1,Q3,0.53,6.88%
Subterranean Biology,SUBTERR BIOL,1768-1448,1314-2615,ZOOLOGY - SCIE,229,1.1,Q3,0.52,98.84%
RAFFLES BULLETIN OF ZOOLOGY,RAFFLES B ZOOL,0217-2445,2345-7600,ZOOLOGY - SCIE,"1,642",1.1,Q3,0.51,0%
ACTA ETHOLOGICA,ACTA ETHOL,0873-9749,1437-9546,ZOOLOGY - SCIE,491,1.1,Q3,0.5,13.89%
University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics,U POLITEH BUCH SER A,1223-7027,N/A,"PHYSICS, MULTIDISCIPLINARY - SCIE",770,1.1,Q4,0.41,0%
JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS,J EXP THEOR PHYS+,1063-7761,1090-6509,"PHYSICS, MULTIDISCIPLINARY - SCIE","12,080",1.1,Q4,0.26,0.53%
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING,0168-7433,1573-0670,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",816,1.1,Q4,0.23,42.62%
Information Technology and Control,INF TECHNOL CONTROL,1392-124X,1392-124X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",440,1.1,Q4,0.22,98.65%
Chinese Science Bulletin-Chinese,CHIN SCI B-CHIN,0023-074X,2095-9419,MULTIDISCIPLINARY SCIENCES - ESCI,"1,665",1.1,N/A,0.21,0%
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0218-2130,1793-6349,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",772,1.1,Q4,0.21,2.96%
NATIONAL ACADEMY SCIENCE LETTERS-INDIA,NATL ACAD SCI LETT,0250-541X,2250-1754,MULTIDISCIPLINARY SCIENCES - SCIE,"1,048",1.1,Q4,0.21,0.85%
Turkish Journal of Electrical Engineering and Computer Sciences,TURK J ELECTR ENG CO,1300-0632,1303-6203,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,169",1.1,Q4,0.21,0%
Foundations of Computing and Decision Sciences,FOUND COMPUT DECIS S,0867-6356,2300-3405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",240,1.1,N/A,0.19,98.39%
International Journal of Swarm Intelligence Research,INT J SWARM INTELL R,1947-9263,1947-9271,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI",290,1.1,N/A,0.18,1.06%
ZOOSYSTEMA,ZOOSYSTEMA,1280-9551,1638-9387,ZOOLOGY - SCIE,512,1,Q3,0.69,0%
ZOOMORPHOLOGY,ZOOMORPHOLOGY,0720-213X,1432-234X,ZOOLOGY - SCIE,"1,021",1,Q3,0.68,32.46%
MAMMALIA,MAMMALIA,0025-1461,1864-1547,ZOOLOGY - SCIE,"1,637",1,Q3,0.63,2.78%
AMPHIBIAN & REPTILE CONSERVATION,AMPHIB REPTILE CONSE,1083-446X,1525-9153,ZOOLOGY - SCIE,310,1,Q3,0.6,0%
HERPETOLOGICAL JOURNAL,HERPETOL J,0268-0130,0268-0130,ZOOLOGY - SCIE,783,1,Q3,0.6,2.74%
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,1508-1109,1733-5329,ZOOLOGY - SCIE,897,1,Q3,0.55,0%
BELGIAN JOURNAL OF ZOOLOGY,BELG J ZOOL,0777-6276,2295-0451,ZOOLOGY - SCIE,411,1,Q3,0.52,100%
European Physical Journal H,EUR PHYS J H,2102-6459,2102-6467,"PHYSICS, MULTIDISCIPLINARY - SCIE",232,1,Q4,0.52,44.23%
Veterinary Research Forum,VET RES FORUM,2008-8140,2322-3618,ZOOLOGY - SCIE,815,1,Q3,0.47,0%
TURKISH JOURNAL OF ZOOLOGY,TURK J ZOOL,1300-0179,1303-6114,ZOOLOGY - SCIE,"1,296",1,Q3,0.46,0%
MAMMAL STUDY,MAMM STUDY,1343-4152,1348-6160,ZOOLOGY - SCIE,501,1,Q3,0.45,0%
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,0137-1592,1734-1515,ZOOLOGY - SCIE,637,1,Q3,0.44,95.21%
HELMINTHOLOGIA,HELMINTHOLOGIA,0440-6605,1336-9083,ZOOLOGY - SCIE,689,1,Q3,0.42,98.51%
MOLLUSCAN RESEARCH,MOLLUSCAN RES,1323-5818,1448-6067,ZOOLOGY - SCIE,362,1,Q3,0.4,2.06%
Comparative Cytogenetics,COMP CYTOGENET,1993-0771,1993-078X,ZOOLOGY - SCIE,410,1,Q3,0.38,93.67%
ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,ICHTHYOL EXPLOR FRES,0936-9902,N/A,ZOOLOGY - SCIE,542,1,Q3,0.37,0%
FRAGMENTA ENTOMOLOGICA,FRAGM ENTOMOL,0429-288X,2284-4880,ZOOLOGY - ESCI,233,1,N/A,0.34,8.51%
THEORETICAL AND MATHEMATICAL PHYSICS,THEOR MATH PHYS+,0040-5779,1573-9333,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,624",1,Q4,0.28,0%
Applied Ontology,APPL ONTOL,1570-5838,1875-8533,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",321,1,Q4,0.27,3.92%
CURRENT SCIENCE,CURR SCI INDIA,0011-3891,0011-3891,MULTIDISCIPLINARY SCIENCES - SCIE,"13,439",1,Q4,0.22,92.01%
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,1000-3290,N/A,"PHYSICS, MULTIDISCIPLINARY - SCIE","7,377",1,Q4,0.2,98.39%
